Asia & Oceania,REMOVE
Saint Pierre and Miquelon,France
Middle East,REMOVE
Palestine,Israel
"Bahamas, The",Bahamas
Former Serbia and Montenegro,Serbia and Montenegro
Burma (Myanmar),Myanmar
"Virgin Islands, British",British Virgin Islands
Timor-Leste (East Timor),Timor-Leste
Saint Vincent/Grenadines,Saint Vincent and the Grenadines
"Germany, West",Germany
Macau,China
World,REMOVE
Congo (Brazzaville),"Congo, Dem. Rep."
Former Czechoslovakia,Czechoslovakia
Africa,REMOVE
Slovakia,Slovak Republic
"Virgin Islands,  U.S.",Virgin Islands (U.S.)
Korea,"Korea, Rep."
Virgin Islands,Virgin Islands (U.S.)
Netherlands (Offshore),Netherlands
Wake Island,United States
North America,REMOVE
Cote dIvoire (IvoryCoast),Cote d'Ivoire
U.S. Pacific Islands,United States
Falkland Islands (Islas Malvinas),United Kingdom
Hawaiian Trade Zone,United States
Faroe Islands,Denmark
Former Yugoslavia,REMOVE
Europe,REMOVE
Hong Kong,China
Eurasia,REMOVE
Sudan and South Sudan,Sudan
"Korea, North","Korea, Dem. Rep."
United Kingdom (Offshore),United Kingdom
"Korea, South","Korea, Rep."
Former U.S.S.R.,Russia
Germany (Offshore),Germany
Congo (Kinshasa),"Congo, Dem. Rep."
"Germany, East",Germany
Macedonia,"Macedonia, FYR"
Central & South America,REMOVE
Antarctica,REMOVE
"Gambia, The",Gambia
